model_name,imbalance_strategy,winsor,pos_rate_train,roc_auc_test,avg_precision_test,f1_0p5_test,precision_0p5_test,recall_0p5_test,f1_at_opt_thr,precision_at_opt_thr,recall_at_opt_thr,opt_threshold,winsor_str,label
Logistic_Regression,NONE,False,0.08500,0.9624980874316941,0.82173549151357,0.733220910623946,0.8592885375494071,0.6394117647058823,0.7358931552587646,0.850965250965251,0.648235294117647,0.48000000000000004,FALSE,Logistic_Regression | NONE | W=FALSE
Logistic_Regression,SMOTE,False,0.08500,0.9629883799421408,0.8211942741911938,0.5769817073170732,0.42671927846674185,0.8905882352941177,0.7340529931305201,0.8268238761974944,0.66,0.9,FALSE,Logistic_Regression | SMOTE | W=FALSE
Logistic_Regression,NEARMISS,False,0.08500,0.9467307778849244,0.7554483693641261,0.5943517329910141,0.46704774714189645,0.8170588235294117,0.686113643269523,0.7096165933375236,0.6641176470588235,0.85,FALSE,Logistic_Regression | NEARMISS | W=FALSE
KNeighborsClassifier,NONE,False,0.08500,0.943322806171649,0.7944236876560946,0.7136596055514974,0.941233140655106,0.5747058823529412,0.728415481309957,0.8321995464852607,0.6476470588235295,0.34,FALSE,KNeighborsClassifier | NONE | W=FALSE
KNeighborsClassifier,SMOTE,False,0.08500,0.9472701382192222,0.7421771107225023,0.5767350928641252,0.43191800878477304,0.8676470588235294,0.7273366127898805,0.9031413612565445,0.6088235294117647,0.9400000000000001,FALSE,KNeighborsClassifier | SMOTE | W=FALSE
KNeighborsClassifier,NEARMISS,False,0.08500,0.8694243330118934,0.5375988127520379,0.3947031183255019,0.26037948525267707,0.8152941176470588,0.6411970709964979,0.6988202637057599,0.5923529411764706,0.9400000000000001,FALSE,KNeighborsClassifier | NEARMISS | W=FALSE
