imbalance_strategy,mean_AP,mean_AUC,mean_F1opt,mean_Popt,mean_Ropt,n
NEARMISS,0.646523591058082,0.9080775554484088,0.6636553571330104,0.7042184285216417,0.628235294117647,2
NONE,0.8080795895848323,0.9529104468016716,0.7321543182843608,0.8415823987252559,0.6479411764705882,2
SMOTE,0.781685692456848,0.9551292590806815,0.7306948029602003,0.8649826187270195,0.6344117647058823,2
