iter	Logloss
0	0.5702474614
1	0.4802906964
2	0.411862242
3	0.3709865568
4	0.3378791086
5	0.3058318627
6	0.2825072916
7	0.2669125404
8	0.2541229439
9	0.2451840893
10	0.2387665321
11	0.2323069231
12	0.2280007125
13	0.2229649965
14	0.2192165446
15	0.2159284402
16	0.2135693872
17	0.2114879079
18	0.2093383333
19	0.207294324
20	0.20531309
21	0.2037204729
22	0.2025052954
23	0.2014996297
24	0.2005993441
25	0.1994310203
26	0.1985571374
27	0.1975710613
28	0.1965517628
29	0.1957266264
30	0.1950996752
31	0.1942767992
32	0.1936024065
33	0.1911680334
34	0.190631712
35	0.1902802833
36	0.1897918004
37	0.1893477815
38	0.1889329937
39	0.1885828673
40	0.1882664972
41	0.1878864886
42	0.1874916339
43	0.1871669123
44	0.1855912258
45	0.1853013901
46	0.1849817755
47	0.1847403253
48	0.1845338536
49	0.1842875372
50	0.1841346156
51	0.1828635691
52	0.1827294133
53	0.1815295189
54	0.1813965788
55	0.1812360577
56	0.181012592
57	0.1808355607
58	0.1806843809
59	0.1804665926
60	0.1803400045
61	0.1801138398
62	0.1799673977
63	0.179222671
64	0.1790522485
65	0.178926515
66	0.1788294415
67	0.1787099441
68	0.1785463705
69	0.1783009113
70	0.1777740588
71	0.1776654127
72	0.1775226378
73	0.1774237765
74	0.1773388967
75	0.177160507
76	0.1770736427
77	0.1768147507
78	0.1762597052
79	0.1761420839
80	0.1760691227
81	0.1757211501
82	0.175549531
83	0.1754270969
84	0.1753671907
85	0.1751697659
86	0.1750316044
87	0.1749401199
88	0.1748491482
89	0.1747864187
90	0.1746610546
91	0.1746105505
92	0.1745300698
93	0.1744021151
94	0.1743412808
95	0.1742661116
96	0.1741199338
97	0.1740003915
98	0.1739265238
99	0.1738105727
100	0.1737243388
101	0.173662975
102	0.1736305613
103	0.1735449093
104	0.1734684185
105	0.1732212616
106	0.1731301632
107	0.1730530612
108	0.1730339418
109	0.1729521104
110	0.1728685546
111	0.1727877847
112	0.1726941973
113	0.1726096193
114	0.1725660133
115	0.1724777498
116	0.1724642203
117	0.1722328901
118	0.1721699379
119	0.1720266844
120	0.171923373
121	0.1717905247
122	0.1717198497
123	0.1716480566
124	0.1716386453
125	0.1715483407
126	0.1714693225
127	0.1713774403
128	0.1712729041
129	0.1712304404
130	0.1711432076
131	0.1710647022
132	0.1709762253
133	0.1709460862
134	0.170876401
135	0.1707773713
136	0.1706986492
137	0.1706003299
138	0.170541546
139	0.1704842429
140	0.1703829869
141	0.1703100765
142	0.1702211527
143	0.1700970293
144	0.1700613629
145	0.1699863296
146	0.1699320374
147	0.1698860367
148	0.1697619942
149	0.1697165863
150	0.169663519
151	0.1696044841
152	0.1695702543
153	0.1694893918
154	0.1694328341
155	0.1693745847
156	0.1693211755
157	0.1692806029
158	0.1692124252
159	0.1691522071
160	0.1691082884
161	0.1690253814
162	0.1689428721
163	0.1689103216
164	0.1688805094
165	0.1688283618
166	0.1687131486
167	0.1686682685
168	0.1685916259
169	0.1685644853
170	0.1685208017
171	0.1685028997
172	0.1683820733
173	0.1682976403
174	0.1682652858
175	0.1682041922
176	0.1681429735
177	0.168104147
178	0.1680716365
179	0.1679774438
180	0.1679287157
181	0.1678745511
182	0.1678445662
183	0.1678093851
184	0.1677831241
185	0.1677796054
186	0.16769373
187	0.1676510003
188	0.1675894306
189	0.1675010687
190	0.1674669332
191	0.1674311167
192	0.167395868
193	0.1673842855
194	0.1673246677
195	0.1673120029
196	0.1672368011
197	0.167173884
198	0.1671036468
199	0.1670431985
200	0.1670391962
201	0.1669637568
202	0.1669291944
203	0.1668336892
204	0.1667897672
205	0.166722786
206	0.1666763584
207	0.1665388039
208	0.1664398185
209	0.1663786882
210	0.1663310131
211	0.1662858754
212	0.166262025
213	0.1661678539
214	0.1661045615
215	0.1660884381
216	0.1660236882
217	0.165920607
218	0.1658611727
219	0.1658323627
220	0.1657211068
221	0.1656262062
222	0.165542181
223	0.1654697275
224	0.1654088623
225	0.1653574643
226	0.1652411647
227	0.1651981765
228	0.1651152236
229	0.1650885591
230	0.165028687
231	0.1650090398
232	0.1649191471
233	0.1646996628
234	0.164655178
235	0.1645858555
236	0.1645053648
237	0.1644291216
238	0.1642486249
239	0.1641895625
240	0.1641065337
241	0.1640226878
242	0.1639499475
243	0.1638874639
244	0.1638202125
245	0.1637594708
246	0.16365559
247	0.1635732566
248	0.16351125
249	0.1634229707
250	0.1633429003
251	0.1632681771
252	0.163215104
253	0.1631547675
254	0.1630478558
255	0.1629894887
256	0.1629207524
257	0.1628689324
258	0.1628036948
259	0.1626948753
260	0.1626226844
261	0.1625857956
262	0.162509038
263	0.162422478
264	0.1623597534
265	0.1623010846
266	0.1622462829
267	0.1621524129
268	0.1620569744
269	0.1619996163
270	0.1619167868
271	0.1618540089
272	0.1617671905
273	0.1616959068
274	0.1616472279
275	0.1615526191
276	0.1614767027
277	0.161383082
278	0.1613245849
279	0.1612218989
280	0.1611498748
281	0.161066666
282	0.1610015859
283	0.1609367868
284	0.1609032233
285	0.1608560827
