iter	Passed	Remaining
405	7603	1760
406	7622	1741
407	7642	1723
408	7660	1704
409	7678	1685
410	7696	1666
411	7714	1647
412	7732	1628
413	7749	1609
414	7767	1590
415	7784	1571
416	7802	1552
417	7819	1533
418	7837	1515
419	7854	1496
420	7873	1477
421	7891	1458
422	7909	1439
423	7929	1421
424	7951	1403
425	7977	1385
426	8000	1367
427	8020	1349
428	8043	1331
429	8062	1312
430	8084	1294
431	8103	1275
432	8120	1256
433	8138	1237
434	8156	1218
435	8175	1200
436	8195	1181
437	8216	1163
438	8237	1144
439	8259	1126
440	8279	1107
441	8301	1089
442	8323	1070
443	8346	1052
444	8369	1034
445	8397	1016
446	8422	998
447	8446	980
448	8470	962
449	8491	943
450	8539	927
451	8563	909
452	8588	891
453	8612	872
454	8633	853
455	8655	835
456	8677	816
457	8700	797
458	8723	779
459	8748	760
460	8771	742
461	8794	723
462	8814	704
463	8835	685
464	8858	666
465	8879	647
466	8904	629
467	8927	610
468	8947	591
469	8968	572
470	8988	553
471	9008	534
472	9026	515
473	9045	496
474	9063	477
475	9083	458
476	9101	438
477	9121	419
478	9139	400
479	9158	381
480	9177	362
481	9196	343
482	9215	324
483	9236	305
484	9258	286
485	9277	267
486	9298	248
487	9322	229
488	9344	210
489	9364	191
490	9390	172
491	9411	153
492	9432	133
493	9453	114
494	9472	95
495	9490	76
496	9509	57
497	9527	38
498	9545	19
499	9562	0
